ranking,player_name,position,age,club_name,best_value_career,currency_best_value_career,market_value,currency_market_value,player_image,nation_image,club_image,last_update
1,Endrick,Centroavante,17,SE Palmeiras,45.0,mi. €,45.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/971570-1682691107.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/1023.png?lm=1411204983,2023-12-11
2,André,Volante,22,Fluminense FC,25.0,mi. €,25.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/800176-1699348390.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/2462.png?lm=1648225934,2023-12-11
3,Pedro,Centroavante,26,CR Flamengo,22.0,mi. €,22.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/432895-1668696996.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
4,Raphael Veiga,Meia Ofensivo,28,SE Palmeiras,18.0,mi. €,18.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/432953-1706144797.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/1023.png?lm=1411204983,2023-12-11
5,Luis Guilherme,Meia Ofensivo,18,SE Palmeiras,17.0,mi. €,17.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/991800-1676571608.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/1023.png?lm=1411204983,2023-12-11
6,Gabriel Barbosa,Centroavante,27,CR Flamengo,26.0,mi. €,17.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/244275-1660003081.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
7,Giorgian de Arrascaeta,Meia Ofensivo,29,CR Flamengo,19.0,mi. €,16.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/248410-1668501457.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
8,Gerson,Meia Central,26,CR Flamengo,22.0,mi. €,15.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/341705-1640777566.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
9,Gabriel Moscardo,Volante,18,SC Corinthians,15.0,mi. €,15.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/1086636-1706118752.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/199.png?lm=1649430398,2023-12-11
10,Yuri Alberto,Centroavante,22,SC Corinthians,18.0,mi. €,15.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/489893-1643722952.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/199.png?lm=1649430398,2023-12-11
11,Paulinho,Ponta Esquerda,23,Atlético Mineiro,25.0,mi. €,15.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/428791-1658913690.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/330.png?lm=1411033853,2023-12-11
12,Nicolás de la Cruz,Meia Ofensivo,26,CR Flamengo,18.0,mi. €,14.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/397458-1625771741.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-19
13,Joaquín Piquerez,Lateral Esq.,25,SE Palmeiras,13.0,mi. €,13.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/496268-1706144655.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/1023.png?lm=1411204983,2023-12-11
14,Bento,Goleiro,24,Athletico Paranaense,12.0,mi. €,12.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/691906-1686753407.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/679.png?lm=1548711363,2023-12-11
15,Luiz Henrique,Ponta Direita,23,Botafogo FR,15.0,mi. €,12.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/800175-1673262492.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/537.png?lm=1651494898,2023-12-22
16,Pablo Maia,Volante,22,São Paulo FC,11.0,mi. €,11.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/892089-1649181461.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/585.png?lm=1409133922,2023-12-11
17,Rony,Centroavante,28,SE Palmeiras,13.0,mi. €,11.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/371009-1582109366.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/1023.png?lm=1411204983,2023-12-11
